Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
7.824708485606210573,-3341.277690348480064131,2757.096497501070189173,-5410.768003130225224595
30.956856634486833002,-3418.757587343000523106,2602.417300292612708290,-5438.913359910630788363
68.385458572173575931,-3539.477141355927415134,2348.664365156871099316,-5477.069075764101398818
118.474704791630927048,-3691.739243974748205801,2003.009170831378696676,-5513.756747677023668075
179.035454878198265760,-3861.034398763250010234,1577.182603624762577965,-5536.004599579295245348
247.420913450371870113,-4031.859244194033635722,1088.139357507162458205,-5531.927193764850017033
320.642307818709866751,-4189.807498159276292427,557.855676115382152602,-5493.260128244566658395
395.499511694083309976,-4323.576798269621576765,12.063223672297453959,-5417.313772055573281250
468.720906062421306615,-4426.464305524877090647,-521.906015495573228691,-5307.887671481894358294
537.106364634594797280,-4496.991419796318950830,-1017.661098753344958823,-5174.918656005932461994
597.667114721162079150,-4538.498938078043465794,-1452.035927783838133109,-5032.951375896424906387
647.756360940619629218,-4557.816754402421793202,-1806.580600137433521013,-4898.801437038875519647
685.184962878306350831,-4563.336654927332347143,-2068.033454603138579841,-4788.925371967409773788
708.317111027186911087,-4562.929054177903708478,-2227.917050990494772122,-4716.986939087528298842
716.141819512793176727,-4562.130671451923262794,-2281.682079176702700352,-4691.965978213250309636
723.966527998399442367,-4560.998440861445487826,-2335.280138271042233100,-4666.600722265955482726
747.098676147280002624,-4555.699674875017990416,-2492.717484099560351751,-4589.618067496086950996
784.527278084966724236,-4540.956268280674521520,-2744.035792033570032800,-4458.844689127221499803
834.616524304424046932,-4509.332700508772177272,-3073.101606175146116584,-4272.160081150601399713
895.177274390991442488,-4453.043748979954216338,-3458.558958012894890999,-4029.339923400311818114
963.562732963164989997,-4366.015634137253982772,-3875.495653211205080879,-3733.898136835015520774
1036.784127331502986635,-4245.767685317765426589,-4297.819071961584995734,-3394.385802176037486788
1111.641331206876429860,-4094.675259743525202794,-4701.046985791523184162,-3024.727159209180626931
1184.862725575214426499,-3920.295418021130899433,-5064.963728742610328482,-2643.438968459955958679
1253.248184147387974008,-3734.667612924658442353,-5375.508543410978745669,-2271.906892827621959441
1313.808934233955369564,-3552.765710832501099503,-5625.415178026857574878,-1932.156085118596138273
1363.898180453412805946,-3390.473533778409091610,-5813.461974805610225303,-1644.646687207884724558
1401.326782391099641245,-3262.513207521656568133,-5942.584985336608042417,-1426.520192318217823413
1424.458930539979974128,-3180.673117905111212167,-6017.405704944257195166,-1290.484722528373822570
1432.283639025586353455,-3152.524779567357654741,-6041.842279283147036040,-1244.276706990335469527
1440.108347511192505408,-3124.144756083374886657,-6065.834826904697365535,-1197.976995695825735311
1463.240495660073293038,-3038.910283085846913309,-6134.150170963386699441,-1060.598109684152632326
1500.669097597759900964,-2896.887735676743886870,-6236.322599797096700058,-836.906205381666723042
1550.758343817217337346,-2699.244671546339304768,-6356.617371494923645514,-535.406568784959517870
1611.319093903784732902,-2449.481252395338742645,-6476.458640947960702761,-168.801695868054878247
1679.704552475958280411,-2154.537529773627284158,-6577.472073958507280622,245.982191404661136858
1752.925946844296277050,-1825.366712303173471810,-6644.665200936577093671,688.501094815976671271
1827.783150719669720274,-1476.707303224039151246,-6669.123852703060038039,1136.288206861700018635
1901.004545088007716913,-1126.033194864484812570,-6649.615704174709208019,1566.890784528868152847
1969.390003660181264422,-791.923562390899974162,-6592.707517821233523136,1959.968460548026769175
2029.950753746748432604,-492.267213957810213287,-6511.365763423702446744,2298.918465672549245937
2080.039999966205868986,-242.726991949046066566,-6422.385320192054678046,2571.647979361330726533
2117.468601903892704286,-55.741707228268467134,-6343.236785073245300737,2770.410363073437110870
2140.600750052773491916,59.888540374964321700,-6288.970603673704317771,2890.934437963169784780
2148.425458538379643869,98.996762261280395023,-6269.697058381229908264,2931.284866058691022772
2156.250167023985795822,138.097698020493908189,-6249.962065405306020693,2971.418957668427538010
2179.382315172866583453,253.621198221901693159,-6188.935279043535956589,3088.773518798259374307
2216.810917110553418752,440.164261139058794470,-6081.778849552780229715,3274.405244497043440788
2266.900163330010400387,688.592858330646777176,-5922.388765810598670214,3514.125542707990007329
2327.460913416578023316,986.115548532913862800,-5705.881366534244989452,3789.708522345590154146
2395.846371988751343451,1316.788847616084240144,-5431.229916221402163501,4080.708328043916480965
2469.067766357089567464,1662.598408262467046370,-5103.378747584649318014,4366.764733885003806790
2543.924970232462783315,2005.050676584338134489,-4734.252774207639049564,4630.053413101862133772
2617.146364600801007327,2326.983538311950724164,-4342.356885959768987959,4857.377562164061600924
2685.531823172974327463,2614.166785669991440955,-3951.047900379735438037,5041.399134385961588123
2746.092573259541495645,2856.285722580389574432,-3585.918948714755970286,5180.696846423797978787
2796.181819478999386774,3047.082094345720179263,-3271.921659020615607005,5278.648728066496914835
2833.610421416685767326,3183.691238766792139359,-3030.803773516398905485,5341.447907183424831601
2856.742569565566554957,3265.457037297343958926,-2879.209568112386932626,5375.761336954809848976
2864.567278051172706910,3292.642927165291439451,-2827.507509437485623494,5386.585321842807388748
2872.391986536778858863,3319.586741171091489377,-2775.597571755241006031,5397.012187186336632294
2895.524134685659646493,3397.805917993897764973,-2620.957756526728189783,5425.507471367037396703
2932.952736623346481792,3519.722039098927325540,-2367.222416016615625267,5464.203122944142705819
2983.041982842803463427,3673.580970984238774690,-2021.505302493044837320,5501.560193711372448888
3043.602732929371086357,3844.789624346211894590,-1595.481556572906583824,5524.532072734045868856
3111.988191501544406492,4017.737214601579580631,-1106.069110493340076573,5521.155354675216585747
3185.209585869882630504,4177.894919405442124116,-575.238344120445844965,5483.097758254408290668
3260.066789745255846356,4313.836203366534391535,-28.749021707310362217,5407.623707076735627197
3333.288184113594070368,4418.746999405355381896,506.011131285888268394,5298.515406937668558385
3401.673642685767390503,4491.061652221387703321,1002.580465523035513797,5165.720296667481306940
3462.234392772334558686,4534.062890824189707928,1437.721183163652767689,5023.814327183355089801
3512.323638991791995068,4554.549504726513077912,1792.921431012525772530,4889.654375962903941399
3549.752240929478830367,4560.902236398471359280,2054.872757650050061784,4779.737806575917602459
3572.884389078359617997,4560.991760244284705550,2215.066757109436366591,4707.761220757496630540
3580.709097563965769950,4560.358474142993145506,2268.937048142894127523,4682.725198647808610986
3588.533806049571921903,4559.389788525147196196,2322.640466235961412167,4657.343825140646004002
3611.665954198452709534,4554.565418718119872210,2480.389630518953254068,4580.307544207325008756
3649.094556136139544833,4540.560775925395319064,2732.212407530443215364,4449.429615465813185438
3699.183802355596526468,4509.870183504775013716,3061.949821204779709660,4262.574390806149494892
3759.744552442164149397,4454.624872800617595203,3448.207626484660977439,4019.508844330852298299
3828.130011014337924280,4368.666518933625411591,3866.024777138322860992,3723.751349902614038001
3901.351405382675693545,4249.440777611576777417,4289.255088552043162053,3383.872891854429326486
3976.208609258049364144,4099.268657687062841433,4693.365802904563679476,3013.829573276769224321
4049.430003626387133409,3925.675337118151219329,5058.100250699535536114,2632.173914458328454202
4117.815462198560453544,3740.688706067794555565,5369.368862972479291784,2260.321969780919062032
4178.376212285128531221,3559.285762374678597553,5619.887211326547003409,1920.317268266944665811
4228.465458504585512856,3397.361527401897092204,5808.422156715831079055,1632.624593375335734891
4265.894060442272348155,3269.651689088545936102,5937.901309906524147664,1414.379431936266200864
4289.026208591152681038,3187.956571577055910893,6012.939158223298363737,1278.279136081040405770
4296.850917076759287738,3159.855635035623436124,6037.448746028145251330,1232.050730601699115141
4304.675625562365894439,3131.522204059062005399,6061.514113159585576796,1185.731424362083544111
4327.807773711246227322,3046.420843106481697760,6130.043749281724558386,1048.299353282136507914
4365.236375648933062621,2904.599584210228385928,6232.560668361055832065,824.536881610549698962
4415.325621868390044256,2707.200312790497719106,6353.315001743567336234,522.973980126726246453
4475.886371954957212438,2457.695653881064117741,6473.715938252626074245,156.341970545744459287
4544.271830527130987321,2163.000994801559954794,6575.377153396039830113,-258.406533198674878804
4617.493224895469211333,1834.050529489536984329,6643.296857735040248372,-700.811024053726896454
4692.350428770842881931,1485.570161857231823888,6668.550100099590963509,-1148.403789001760060273
4765.571823139181105944,1135.027301937096581241,6649.885748706415142806,-1578.748198045401522904
4833.957281711353971332,801.000469461382181180,6593.837927099441003520,-1971.533217151041299076
4894.518031797922049009,501.383655400474367525,6513.324925848796738137,-2310.191153707733519695
4944.607278017379030643,251.850367054798965682,6425.081896649066038663,-2582.662047282971798268
4982.035879955065865943,64.853884040882689987,6346.516895087022930966,-2781.224484850034514238
5005.168028103946198826,-50.790724100592143486,6292.625719756488251733,-2901.623269631265884527
5012.992736589552805526,-89.905141058281799360,6273.481547779215361516,-2941.931146835029267095
5020.817445075158502732,-129.012963460873152144,6253.877213388116615533,-2982.022638558270955400
5043.949593224038835615,-244.560960981217846211,6193.244256611862510908,-3099.251194539725929644
5081.378195161725670914,-431.157309812470089128,6086.749207538988230226,-3284.680067169057110732
5131.467441381182652549,-679.685439238866592859,5928.291275459729149588,-3524.134831412030507636
5192.028191467749820731,-977.375628550321039256,5712.982605846144906536,-3799.414050037008109939
5260.413650039923595614,-1308.306976500458404189,5439.776850990971979627,-4090.106735326407942921
5333.635044408261819626,-1654.483439315558143790,5113.575824535448191455,-4375.893729062884631276
5408.492248283635490225,-1997.418902933471599681,4746.235343090686910728,-4638.989461889384983806
5481.713642651973714237,-2319.941248708087186969,4356.167528942944045411,-4866.223185697459484800
5550.099101224146579625,-2607.788645778980480827,3966.622601075123839109,-5050.261890249752468662
5610.659851310714657302,-2850.593704782034819800,3603.087233326017212676,-5189.665626860572047008
5660.749097530171638937,-3042.030609992124482233,3290.420080154077368206,-5287.774329047476385313
5698.177699467858474236,-3179.163030244566016336,3050.297880813170195324,-5350.733367851758885081
5721.309847616738807119,-3261.271722026709994680,2899.317977372282257420,-5385.164307847316194966
5729.134556102345413819,-3288.577006214214179636,2847.823328507243786589,-5396.031316985412559006
5736.959264587952020520,-3315.641946141022344818,2796.120547661052569310,-5406.502871821056942281
5760.091412736832353403,-3394.229382460467149940,2642.091323238323184341,-5435.140057192871609004
5797.520014674519188702,-3516.773803004937235528,2389.336197068244928232,-5474.096490734925282595
5847.609260893976170337,-3671.536834684488439962,2044.909633297000937091,-5511.863204283325103461
5908.170010980543338519,-3843.935755723089641833,1620.400701473164417621,-5535.422888528627481719
5976.555469552717113402,-4018.354597345258298446,1132.617741843858766515,-5532.829563802425582253
6049.776863921055337414,-4180.234056678169508814,603.408263862241142306,-5495.745814458338827535
6124.634067796429008013,-4318.085666994383245765,58.412824887226975079,-5421.401827152838450274
6197.855462164767232025,-4425.002268349770929490,-475.076567240861663777,-5313.516996983108583663
6266.240920736940097413,-4499.301679948846867774,-970.654074872606543067,-5181.955451636797988613
6326.801670823508175090,-4544.140113913001187029,-1405.090808725513397803,-5041.202356005991532584
6376.890917042965156725,-4566.195150234577340598,-1759.842150059868345124,-4908.029824411761183001
6414.319518980651992024,-4573.744649334371388250,-2021.540993443441266209,-4798.866370598462708585
6437.451667129532324907,-4574.582998551325545122,-2181.615598228824183025,-4727.360177161986030114
6445.276375615138931607,-4574.204440364386755391,-2235.451952592318775714,-4702.483950008652755059
6453.101084100745538308,-4573.491158572506719793,-2289.124724704330219538,-4677.262664004259931971
6476.233232249625871191,-4569.425512096582679078,-2446.802699136935643764,-4600.701058586568251485
6513.661834187312706490,-4556.658547835852914432,-2698.572564714842883404,-4470.593931336365130846
6563.751080406769688125,-4527.638554435142395960,-3028.361843478102400695,-4284.770172591903246939
6624.311830493336856307,-4474.423898576694227813,-3414.873242897797354090,-4042.940393322490763239
6692.697289065510631190,-4390.754517681385550532,-3833.230774587004816567,-3748.545404667604998394
6765.918683433848855202,-4273.949677664133560029,-4257.338114190341912035,-3410.063315694512311893
6840.775887309222525801,-4126.191003390190417122,-4662.659076954335432674,-3041.354270043511860422
6913.997281677560749813,-3954.868422467993241298,-5028.873340776984150580,-2660.887323656748776557
6982.382740249733615201,-3771.896465354672272952,-5341.774465317692374811,-2290.021318757953395107
7042.943490336301692878,-3592.173264816794016951,-5593.926847987781002303,-1950.775785595858224042
7093.032736555758674513,-3431.552858103122161992,-5783.936698492834693752,-1663.622526732674941741
